,name,ingredients,url,image,cookTime,recipeYield,datePublished,prepTime,description,difficulty
0,Easy Green Chile Enchiladas,1 WHOLE ONION  DICED 2 TABLESPOONS BUTTER 1 CAN (15 OUNCE) GREEN ENCHILADA SAUCE 2 CANS (4 OUNCE) CHOPPED GREEN CHILIES 12 WHOLE CORN TORTILLAS 2 CUPS FRESHLY GRATED CHEDDAR (OR CHEDDAR-JACK) CHEESE (OR ANY CHEESE YOU'D LIKE)  SOUR CREAM  SALSA  PICO DE GALLO (OPTIONAL)  GUACAMOLE (OPTIONAL)  CILANTRO LEAVES  OPTIONAL,http://thepioneerwoman.com/cooking/2012/05/easy-green-chile-enchiladas/,http://static.thepioneerwoman.com/cooking/files/2012/05/enchilada.jpg,PT10M,4,2012-05-31,PT5M,"When I was in Albuquerque with Marlboro Man and the boys a month ago, I had a really fun book signing. Such incredibly nice a...",Easy
1,Bacon-Wrapped Scallops with Chili Butter,2 POUNDS LARGE SCALLOPS 1/2 POUND BACON  CUT INTO THIRDS OR HALVES 1 STICK BUTTER 2 TEASPOONS CHILI POWDER  DASH OF CAYENNE,http://thepioneerwoman.com/cooking/2012/01/bacon-wrapped-scallops-with-chili-butter/,http://static.thepioneerwoman.com/cooking/files/2012/01/scallops.jpg,PT20M,8,2012-01-19,PT15M,"I made these beautiful, tasty little suckers before Christmas and am only just now recovering from the bliss so I can tell yo...",Medium
2,Spicy Stewed Beef with Creamy Cheddar Grits,2 TABLESPOONS CANOLA OIL 2 TABLESPOONS BUTTER 3 POUNDS STEW MEAT OR DICED CHUCK ROAST 1 CAN (11 OUNCES) CHIPOTLE PEPPERS IN ADOBO SAUCE 4 CUPS LOW-SODIUM BEEF BROTH  MORE IF NEEDED 5 CLOVES MINCED GARLIC 1 TABLESPOON CUMIN 2 TEASPOONS CHILI POWDER 1 WHOLE ONION  DICED 1 WHOLE RED BELL PEPPER 3 WHOLE CHILIES (ANY VARIETY  HOT OR MILD) 4 CUPS STONE GROUND GRITS 6 CUPS LOW SODIUM CHICKEN (OR BEEF) BROTH 3 CUPS WATER 2 CUPS HALF-AND-HALF 2 CUPS GRATED CHEDDAR CHEESE,http://thepioneerwoman.com/cooking/2012/01/spicy-stewed-beef-with-creamy-cheddar-grits/,http://static.thepioneerwoman.com/cooking/files/2012/01/stewedbeef.jpg,PT3H,12,2012-01-30,PT20M,"My oh my, was this good. Ultra spicy, seriously tender stewed meat served over unbelievably creamy cheese grits. The spicines...",Hard
3,Vegetarian Lettuce Wraps,2 TEASPOONS PEANUT OR OLIVE OIL 1 PACKAGE (ABOUT 12-14 OZ. SIZE) FIRM TOFU 2 EARS CORN (OR 1 1/2 CUPS FROZEN CORN KERNELS) 1/4 TEASPOON CHILI POWDER (MORE TO TASTE) 1/4 CUP SOY SAUCE  ROMAINE LETTUCE HEARTS 2 WHOLE AVOCADOS  SLICED 1 TEASPOON BALSAMIC VINEGAR (OPTIONAL),http://thepioneerwoman.com/cooking/2012/02/vegetarian-lettuce-wraps/,http://static.thepioneerwoman.com/cooking/files/2012/02/wraps.jpg,PT15M,6,2012-02-22,PT5M,"Today is Ash Wednesday, the beginning of Lent, and I'd like to share this exceedingly meatless treat with you that I've been ...",Easy
4,Grillin’ Recipe Contest Winners!,4 WHOLE RIBEYE  HANGER  FLAT IRON  OR STRIP STEAKS 1/2 TEASPOON GROUND NUTMEG 1/2 TEASPOON GROUND CUMIN 1 TEASPOON GROUND CINNAMON 1 TEASPOON GROUND GINGER 2 TABLESPOONS CHILI POWDER 1/2 TEASPOON GROUND TURMERIC 2 TABLESPOONS GARLIC SALT 1 CUP OLIVE OIL 2 CANS BUSH'S GRILLIN BEANS STEAKHOUSE RECIPE,http://thepioneerwoman.com/cooking/2012/05/grillin-recipe-contest-winners/,http://static.thepioneerwoman.com/cooking/files/2012/05/bushs41.jpg,PT5M,4,2012-05-17,PT10M,"Before I share my fourth and final grilling recipe, I’m busting at the seams to announce the winners of the Bush’s Grilli...",Easy
5,Spicy Beans,4 CUPS DRY PINTO BEANS 1 WHOLE HAM HOCK 1 WHOLE ONION  DICED 2 WHOLE RED BELL PEPPERS  DICED 4 CLOVES GARLIC  MINCED 2 WHOLE JALAPENOS  SLICED 2 TEASPOONS SALT  MORE TO TASTE 2 TEASPOONS CHILI POWDER (OPTIONAL) 2 TEASPOONS BLACK PEPPER  MORE TO TASTE,http://thepioneerwoman.com/cooking/2011/08/spicy-beans/,http://static.thepioneerwoman.com/cooking/files/2011/08/6005198000_e154cac62e_o.jpg,PT4H,12,2011-08-04,PT5M,"My name is Pioneer Woman and I love beans.     Hi, Pioneer Woman.     Sorry. It's true, though. A big pot of brown beans simm...",Hard
6,Frito Chili Pie,2 POUNDS GROUND CHUCK 3 CLOVES GARLIC  MINCED (OPTIONAL) 1 CAN (12 TO 14 OUNCE) TOMATO SAUCE 1 CAN (10 OUNCE) RO-TEL (DICED TOMATOES AND CHILIES) 1/2 TEASPOON SALT 1 TEASPOON GROUND OREGANO 1 TABLESPOON GROUND CUMIN 2 TABLESPOONS CHILI POWDER (MORE TO TASTE) 1 CAN (14-OUNCE) KIDNEY BEANS  DRAINED AND RINSED 1 CAN (14-OUNCE) PINTO BEANS  DRAINED AND RINSED 1/4 CUP MASA (CORN FLOUR) OR REGULAR CORN MEAL 1/2 CUP WARM WATER  INDIVIDUAL BAGS OF FRITOS  GRATED SHARP CHEDDAR CHEESE  DICED RED ONION (OPTIONAL),http://thepioneerwoman.com/cooking/2011/09/frito-chili-pie/,http://static.thepioneerwoman.com/cooking/files/2011/09/TPW_1850.jpg,PT1H,8,2011-09-26,PT5M,"We're submerged in football right now. There's no other way to put it. Marlboro Man is coaching my two boys' football team, M...",Hard
7,Caveman Pops (aka Roasted Turkey Legs),10 WHOLE TURKEY LEGS  BRINE: 4 QUARTS WATER 1 CUP KOSHER SALT 1 CUP SUGAR 1 CUP BROWN SUGAR 2 TABLESPOONS SEASONING BLEND (I USED MONTREAL) 1 WHOLE BAY LEAF  DRY RUB 2 TABLESPOONS CHILI POWDER (LESS IF YOU DON'T LIKE THINGS TOO SPICY!) 2 TEASPOONS SEASONING BLEND (I USED MONTREAL) 2 TEASPOONS PAPRIKA 2 TEASPOONS ONION SALT,http://thepioneerwoman.com/cooking/2011/10/caveman-pops-aka-roasted-turkey-legs/,http://static.thepioneerwoman.com/cooking/files/2011/10/caveman.jpg,PT30M,10,2011-10-17,PT6H,"While a few state fairs are happening right now, the one in my state (as is the case with many others) has drawn to a close. ...",Hard
8,Beef with Peppers,1-1/2 POUND FLANK STEAK  SLICED VERY THIN AGAINST THE GRAIN 1/2 CUP LOW SODIUM SOY SAUCE 3 TABLESPOONS SHERRY 2 TABLESPOONS PACKED BROWN SUGAR 2 TABLESPOONS CORNSTARCH 1 TABLESPOON MINCED FRESH GINGER 2 CLOVES GARLIC  MINCED 1 TEASPOON RED CHILE PASTE (OR A FEW DASHES RED CHILE OIL) 2 TABLESPOONS CANOLA OIL 1 WHOLE MEDIUM YELLOW ONION  SLICED 2 WHOLE RED BELL PEPPERS  CORED AND SLICED INTO RINGS 1 TABLESPOON DICED FRESH JALAPENO (OR 1 TEASPOON DICE HOT PEPPER)  RED PEPPER FLAKES  FOR SPRINKLING  CILANTRO LEAVES,http://thepioneerwoman.com/cooking/2011/03/beef-with-peppers/,http://static.thepioneerwoman.com/cooking/files/2011/03/5572969276_8f4385a0e2_o.jpg,PT15M,8,2011-03-30,PT15M,"I could eat beef stir fry every day of the week. I had a major hankering for it last night, and decided to throw together a v...",Medium
9,Beef Noodle Salad Bowls,1 WHOLE SIRLOIN STEAK  3/4 TO 1 POUND  KOSHER SALT TO TASTE 3/4 CUPS PONZO OR REGULAR SOY SAUCE 3 TABLESPOONS PURE SESAME OIL 2 TABLESPOONS OLIVE OIL 2 TABLESPOONS RICE WINE VINEGAR 1 TEASPOON HOT CHILI OIL (LESS IF YOU CAN'T HANDLE HEAT!) 2 CLOVES GARLIC  PEELED AND MINCED FINELY 2 TEASPOONS MINCED FRESH GINGER 2 TABLESPOONS PACKED BROWN SUGAR 1/2 CUP SLICED GREEN ONION 8 OUNCES  WEIGHT THIN NOODLES (I USED THIN SPAGHETTI)  CILANTRO LEAVES,http://thepioneerwoman.com/cooking/2011/05/beef-noodle-salad-bowls/,http://static.thepioneerwoman.com/cooking/files/2011/05/5712043212_092a8fe85d_o.jpg,PT10M,4,2011-05-12,PT10M,At the salad supper I attended a couple of weeks ago--the one that gave birth to this chicken salad I made recently--four sal...,Easy
